timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666213967751,114,GET /folders,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,3,11,http://localhost:3000/folder,111,0,38
1666213967751,142,GET /folders,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,3,11,http://localhost:3000/folder,142,0,34
1666213967751,179,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,1,11,http://localhost:3000/folder,179,0,35
1666213967751,217,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-1,text,true,,243,209,4,14,http://localhost:3000/parents,217,0,36
1666213967752,260,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-2,text,true,,243,209,4,14,http://localhost:3000/parents,260,0,32
1666213967751,311,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-1,text,true,,243,198,5,17,http://localhost:3000/children,311,0,37
1666213967751,313,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,1,17,http://localhost:3000/addFolder,313,0,35
1666213967867,235,GET /folders,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,5,17,http://localhost:3000/folder,235,0,0
1666213967849,255,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-3,text,true,,243,209,5,17,http://localhost:3000/parents,255,0,1
1666213967751,372,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-2,text,true,,243,198,5,17,http://localhost:3000/children,372,0,37
1666213967894,247,GET /folders,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,5,17,http://localhost:3000/folder,247,0,0
1666213967931,211,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,1,18,http://localhost:3000/folder,211,0,0
1666213967940,220,GET /folders,200,OK,GET_FOLDER_BY_ID 1-4,text,true,,305,198,6,20,http://localhost:3000/folder,220,0,2
1666213967949,239,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-4,text,true,,243,198,6,20,http://localhost:3000/children,238,0,1
1666213967949,242,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-4,text,true,,243,209,6,20,http://localhost:3000/parents,242,0,2
1666213967968,230,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-1,text,true,,243,209,6,20,http://localhost:3000/parents,230,0,0
1666213968012,214,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-2,text,true,,243,209,6,20,http://localhost:3000/parents,214,0,0
1666213968039,190,GET /folders,200,OK,GET_FOLDER_BY_ID 1-5,text,true,,305,198,6,20,http://localhost:3000/folder,190,0,2
1666213968050,199,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-5,text,true,,243,198,6,21,http://localhost:3000/children,199,0,2
1666213968051,213,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-5,text,true,,243,209,7,23,http://localhost:3000/parents,213,0,1
1666213967843,424,GET /folders,200,OK,GET_FOLDER_BY_ID 1-3,text,true,,305,198,7,23,http://localhost:3000/folder,424,0,1
1666213968065,206,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,1,23,http://localhost:3000/addFolder,206,0,0
1666213968104,183,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-3,text,true,,243,209,7,23,http://localhost:3000/parents,183,0,0
1666213968141,163,GET /folders,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,7,23,http://localhost:3000/folder,163,0,0
1666213968123,185,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-2,text,true,,243,198,7,23,http://localhost:3000/children,185,0,0
1666213967848,472,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-3,text,true,,243,198,7,23,http://localhost:3000/children,472,0,1
1666213968143,180,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,1,23,http://localhost:3000/folder,180,0,0
1666213968143,183,GET /folders,200,OK,GET_FOLDER_BY_ID 1-6,text,true,,305,198,7,23,http://localhost:3000/folder,183,0,1
1666213968151,191,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-6,text,true,,243,209,7,24,http://localhost:3000/parents,191,0,2
1666213968149,204,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-6,text,true,,243,198,8,26,http://localhost:3000/children,204,0,2
1666213968160,199,GET /folders,200,OK,GET_FOLDER_BY_ID 1-4,text,true,,305,198,8,26,http://localhost:3000/folder,199,0,0
1666213968191,184,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-4,text,true,,243,209,8,26,http://localhost:3000/parents,184,0,0
1666213968188,201,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-4,text,true,,243,198,8,26,http://localhost:3000/children,201,0,0
1666213968198,192,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-1,text,true,,243,209,8,26,http://localhost:3000/parents,192,0,0
1666213968227,163,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-2,text,true,,243,209,8,26,http://localhost:3000/parents,163,0,0
1666213968229,165,GET /folders,200,OK,GET_FOLDER_BY_ID 1-5,text,true,,305,198,8,26,http://localhost:3000/folder,165,0,0
1666213968242,169,GET /folders,200,OK,GET_FOLDER_BY_ID 1-7,text,true,,305,198,8,26,http://localhost:3000/folder,169,0,1
1666213968250,189,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-7,text,true,,243,198,8,26,http://localhost:3000/children,189,0,1
